id	ndex	species	type1	type2	ability1	ability2	abilityH	hp	attack	defense	spattack	spdefense	speed	total	weight	height	dex1	dex2	class	percent-male	percent-female	pre-evolution	egg-group1	egg-group2
109	109	Koffing	Poison		Levitate			40	65	95	60	45	35	340	2.2	24			Poison Gas Pokemon	0.5	0.5		Amorphous	
110	110	Weezing	Poison		Levitate			65	90	120	85	70	60	490	20.9	47			Poison Gas Pokemon	0.5	0.5	Koffing	Amorphous	
111	111	Rhyhorn	Ground	Rock	Lightning Rod	Rock Head	Reckless	80	85	95	30	30	25	345	253.5	39			Spikes Pokemon	0.5	0.5		Monster	Field
112	112	Rhydon	Ground	Rock	Lightning Rod	Rock Head	Reckless	105	130	120	45	45	40	485	264.6	75			Drill Pokemon	0.5	0.5	Rhyhorn	Monster	Field
113	113	Chansey	Normal		Natural Cure	Serene Grace	Healer	250	5	5	35	105	50	450	76.3	43	The eggs laid by Chansey are rich in nutrients and a favorite food of many Pokemon.	'Not only are these Pokemon fast runners, they're also few in number, so anyone who finds one must be lucky indeed.'	Egg Pokemon	0	1	Happiny	Fairy	
114	114	Tangela	Grass		Chlorophyll	Leaf Guard	Regenerator	65	55	115	100	40	60	435	77.2	39			Vine Pokemon	0.5	0.5		Grass	
115	115	Kangaskhan	Normal		Early Bird	Scrappy	Inner Focus	105	95	80	40	80	90	490	176.4	87	Kangaskhan's maternal love is so deep that it will brave death to protect its offspring.	The child in its pouch leaves home after roughly three years. That is the only time the mother is heard to cry wildly.	Parent Pokemon	0	1		Monster	
116	116	Horsea	Water		Swift Swim	Sniper	Damp	30	40	70	70	25	60	295	17.6	16			Dragon Pokemon	0.5	0.5		Water 1	Dragon
117	117	Seadra	Water		Poison Point	Sniper	Damp	55	65	95	95	45	85	440	55.1	47			Dragon Pokemon	0.5	0.5	Horsea	Water 1	Dragon
118	118	Goldeen	Water		Swift Swim	Sniper	Damp	45	67	60	35	50	63	320	33.1	24	'When the weather grows warm, they form groups and swim upriver. This sight serves as a poetic reminder that spring has arrived.'	'Spellbound by the length of its horn and the beauty of its fins, many strange Trainers raise Goldeen and nothing but Goldeen.'	Goldfish Pokemon	0.5	0.5		Water 2	
119	119	Seaking	Water		Swift Swim	Water Veil	Lightning Rod	80	92	65	65	80	68	450	86	51	'When the weather grows cold, its whole body flushes a deep red. This sight serves as a poetic reminder that autumn has arrived.'	Trainers who are crazy for Seaking are divided into horn enthusiasts and fin enthusiasts. The two groups do not get along well.	Goldfish Pokemon	0.5	0.5	Goldeen	Water 2	
120	120	Staryu	Water		Illuminate	Natural Cure	Analytic	30	45	55	70	55	85	340	76.1	31	'Large numbers of these Pokemon make their home at the seaside. At night, a strange red glow radiates from the center of their bodies.'	'This Pokemon gets nibbled on by Lumineon and others. Thanks to its red core, it regenerates fast, so it's unconcerned by their snack attacks.'	Star Shape Pokemon				Water 3	
121	121	Starmie	Water	Psychic	Illuminate	Natural Cure	Analytic	60	75	85	100	85	115	520	176.4	43	Its shining core is thought to receive and transmit enigmatic signals. It has been known to cause headaches in those who approach it.	'Its unusual body shape, reminiscent of abstract art, led local people to spread rumors that this Pokemon may be an invader from outer space.'	Mysterious Pokemon			Staryu	Water 3	
122	122	Mr. Mime	Psychic	Fairy	Soundproof	Filter	Technician	40	45	65	100	120	90	460	120.1	51			Barrier Pokemon	0.5	0.5	Mime Jr.	Human-Like	
123	123	Scyther	Bug	Flying	Swarm	Technician	Steadfast	70	110	80	55	80	105	500	123.5	59	'It confuses its prey with its quick, ninja-like movements. Then, in an instant, it cleaves them with its scythes.'	'While young, they live together deep in the mountains, training themselves in how to fight with their scythes and move at high speeds.'	Mantis Pokemon	0.5	0.5		Bug	
124	124	Jynx	Ice	Psychic	Oblivious	Forewarn	Dry Skin	65	50	35	115	95	95	455	89.5	55			Human Shape Pokemon	0	1	Smoochum	Human-Like	
125	125	Electabuzz	Electric		Static		Vital Spirit	65	83	57	95	85	105	490	66.1	43	Half of all sudden blackouts are caused by Electabuzz gathering at electric power plants and gobbling up electricity.	Electricity leaks from it in amounts far greater than the amount of electricity it eats.	Electric Pokemon	0.75	0.25	Elekid	Human-Like	
126	126	Magmar	Fire		Flame Body		Vital Spirit	65	95	57	100	85	93	495	98.1	51	'When it's tired, it leaps into the mouth of a volcano and soaks its body in magma to ease its weariness. Its body burns at 2,192 degrees F.'	'When angered, it spouts brilliant fire from all over its body. It doesn't calm down until its opponent has burned to ash.'	Spitfire Pokemon	0.75	0.25	Magby	Human-Like	
127	127	Pinsir	Bug		Hyper Cutter	Mold Breaker	Moxie	65	125	100	55	70	85	500	121.3	59	'It grips its prey in its pincers and splits them apart. Although it is a powerful Pokemon, it can't deal with the cold.'	One solid blow from its horns is enough to split apart a large tree. Its greatest rival in Alola is Vikavolt.	Stag Beetle Pokemon	0.5	0.5		Bug	
128	128	Tauros	Normal		Intimidate	Anger Point	Sheer Force	75	100	95	40	70	110	490	194.9	55	'Historically, people in areas all over the world have ridden Tauros, but the practice is said to have started in Alola.'	'Although it's known to be a fierce Pokemon, Tauros in the Alola region are said to possess a measure of calmness.'	Wild Bull Pokemon	1	0		Field	
129	129	Magikarp	Water		Swift Swim		Rattled	20	10	55	15	20	80	200	22	35	'Although weak and helpless, this Pokemon is incredibly fertile. They exist in such multitudes, you'll soon grow tired of seeing them.'	'Its reckless leaps make it easy pickings for predators. On the bright side, many Pokemon enjoy longer life spans, thanks to Magikarp.'	Fish Pokemon	0.5	0.5		Water 2	Dragon
130	130	Gyarados	Water	Flying	Intimidate		Moxie	95	125	79	60	100	81	540	518.1	256	'A tale is told of a town that angered Gyarados. Before the sun rose the next day, flames utterly consumed the town, leaving not a trace behind.'	There are people who swear that any place Gyarados appears is fated for destruction.	Atrocious Pokemon	0.5	0.5	Magikarp	Water 2	Dragon
131	131	Lapras	Water	Ice	Water Absorb	Shell Armor	Hydration	130	85	80	85	95	60	535	485	98	'Its high intelligence enables it to comprehend human speech. When it's in a good mood, it sings in its beautiful voice.'	'These Pokemon were once near extinction due to poaching. Following protective regulations, there is now an overabundance of them.'	Transport Pokemon	0.5	0.5		Monster	Water 1
132	132	Ditto	Normal		Limber		Imposter	48	48	48	48	48	48	288	8.8	12	It can reorganize its cells to make itself into a duplicate of anything it sees. The quality of the duplicate depends on the individual.	'With its astonishing capacity for metamorphosis, it can get along with anything. It does not get along well with its fellow Ditto.'	Transform Pokemon				Ditto	
133	133	Eevee	Normal		Run Away	Adaptability	Anticipation	55	55	50	45	65	55	325	14.3	12	'Possessing an unbalanced and unstable genetic makeup, it conceals many possible evolutions.'	Current studies show it can evolve into an incredible eight different species of Pokemon.	Evolution Pokemon	0.875	0.125		Field	
134	134	Vaporeon	Water		Water Absorb		Hydration	130	65	60	110	95	65	525	63.9	39	Its cells are composed of units much like water molecules. It lives close to water and is often mistaken for a mermaid.	'Blending in with the water and erasing all signs of its presence, it patiently waits for its prey, fish Pokemon.'	Bubble Jet Pokemon	0.875	0.125	Eevee	Field	
135	135	Jolteon	Electric		Volt Absorb		Quick Feet	65	65	60	110	95	130	525	54	31	'They send out electrical charges of about 10,000 volts. Because they are high-strung, it can be difficult to grow close to them.'	'When its fur stands on end, that's a sign it's about to give off a jolt of electricity. Take care, as sometimes lightning strikes next to it, too.'	Lightning Pokemon	0.875	0.125	Eevee	Field	
136	136	Flareon	Fire		Flash Fire		Guts	65	130	60	95	110	65	525	55.1	35	'When it catches prey or finds berries, it breathes fire on them until they're well done, and then it gobbles them up.'	'Its average body temperature is between 1,300 and 1,500 degrees Fahrenheit. In its internal flame sac, temperatures reach 3,000 degrees.'	Flame Pokemon	0.875	0.125	Eevee	Field	
137	137	Porygon	Normal		Trace	Download	Analytic	65	60	70	85	75	40	395	80.5	31	'Roughly 20 years ago, it was artificially created, utilizing the latest technology of the time.'	'It can convert its body into digital data, which enables it to enter cyberspace.'	Virtual Pokemon	0.875	0.125		Mineral	
138	138	Omanyte	Rock	Water	Swift Swim	Shell Armor	Weak Armor	35	40	100	90	55	35	355	16.5	16			Spiral Pokemon	0.875	0.125		Water 1	Water 3
139	139	Omastar	Rock	Water	Swift Swim	Shell Armor	Weak Armor	70	60	125	115	70	55	495	77.2	39			Spiral Pokemon	0.875	0.125	Omanyte	Water 1	Water 3
140	140	Kabuto	Rock	Water	Swift Swim	Battle Armor	Weak Armor	30	80	90	55	45	55	355	25.4	20			Shellfish Pokemon	0.875	0.125		Water 1	Water 3
141	141	Kabutops	Rock	Water	Swift Swim	Battle Armor	Weak Armor	60	115	105	65	70	80	495	89.3	51			Shellfish Pokemon	0.875	0.125	Kabuto	Water 1	Water 3
142	142	Aerodactyl	Rock	Flying	Rock Head	Pressure	Unnerve	80	105	65	60	75	130	515	130.1	71	A Pokemon from the age of the dinosaurs. It used its sawlike fangs to shred its prey before eating them.	'In ancient times, it ruled the skies. A widely accepted theory is that it went extinct due to a large meteor impact.'	Fossil Pokemon	0.875	0.125		Flying	
143	143	Snorlax	Normal		Immunity	Thick Fat	Gluttony	160	110	65	65	110	30	540	1014.1	83	Its stomach is said to be incomparably strong. Even Muk's poison is nothing more than a hint of spice on Snorlax's tongue.	It eats nearly 900 pounds of food every day. It starts nodding off while eating—and continues to eat even while it's asleep.	Sleeping Pokemon	0.875	0.125	Munchlax	Monster	
144	144	Articuno	Ice	Flying	Pressure		Snow Cloak	90	85	100	95	125	85	580	122.1	67			Freeze Pokemon				Undiscovered	
145	145	Zapdos	Electric	Flying	Pressure		Static	90	90	85	125	90	100	580	116	63			Electric Pokemon				Undiscovered	
146	146	Moltres	Fire	Flying	Pressure		Flame Body	90	100	90	125	85	90	580	132.3	79			Flame Pokemon				Undiscovered	
147	147	Dratini	Dragon		Shed Skin		Marvel Scale	41	64	45	50	50	50	300	7.3	71	It grows by molting repeatedly. Boots made from the tanned cast-off skin are a super luxury item.	'After a 10-hour struggle, a fisherman was able to pull one up and confirm its existence.'	Dragon Pokemon	0.5	0.5		Water 1	Dragon
148	148	Dragonair	Dragon		Shed Skin		Marvel Scale	61	84	65	70	70	70	420	36.4	157	It has long been thought that its crystalline orbs are imbued with the power to control the weather.	'From time immemorial, it has been venerated by agricultural peoples as an entity able to control the weather.'	Dragon Pokemon	0.5	0.5	Dratini	Water 1	Dragon
149	149	Dragonite	Dragon	Flying	Inner Focus		Multiscale	91	134	95	100	100	80	600	463	87	'This Pokemon saved a shipwrecked man, taking him to a remote island—a paradise occupied solely by Dragonite.'	'Incur the wrath of this normally calm Pokemon at your peril, because it will smash everything to smithereens before it's satisfied.'	Dragon Pokemon	1	0	Dragonair	Water 1	Dragon
150	150	Mewtwo	Psychic		Pressure		Unnerve	106	110	90	154	90	130	680	269	79			Genetic Pokemon				Undiscovered	
151	151	Mew	Psychic		Synchronize			100	100	100	100	100	100	600	8.8	16			New Species Pokemon				Undiscovered	
152	152	Chikorita	Grass		Overgrow		Leaf Guard	45	49	65	49	65	45	318	14.1	35			Leaf Pokemon	0.875	0.125		Monster	Grass
153	153	Bayleef	Grass		Overgrow		Leaf Guard	60	62	80	63	80	60	405	34.8	47			Leaf Pokemon	0.875	0.125	Chikorita	Monster	Grass
154	154	Meganium	Grass		Overgrow		Leaf Guard	80	82	100	83	100	80	525	221.6	71			Herb Pokemon	0.875	0.125	Bayleef	Monster	Grass
155	155	Cyndaquil	Fire		Blaze		Flash Fire	39	52	43	60	50	65	309	17.4	20			Fire Mouse Pokemon	0.875	0.125		Field	
156	156	Quilava	Fire		Blaze		Flash Fire	58	64	58	80	65	80	405	41.9	35			Volcano Pokemon	0.875	0.125	Cyndaquil	Field	
157	157	Typhlosion	Fire		Blaze		Flash Fire	78	84	78	109	85	100	534	175.3	67			Volcano Pokemon	0.875	0.125	Quilava	Field	
158	158	Totodile	Water		Torrent		Sheer Force	50	65	64	44	48	43	314	20.9	24			Big Jaw Pokemon	0.875	0.125		Monster	Water 1
159	159	Croconaw	Water		Torrent		Sheer Force	65	80	80	59	63	58	405	55.1	43			Big Jaw Pokemon	0.875	0.125	Totodile	Monster	Water 1
160	160	Feraligatr	Water		Torrent		Sheer Force	85	105	100	79	83	78	530	195.8	91			Big Jaw Pokemon	0.875	0.125	Croconaw	Monster	Water 1
161	161	Sentret	Normal		Run Away	Keen Eye	Frisk	35	46	34	35	45	20	215	13.2	31			Scout Pokemon	0.5	0.5		Field	
162	162	Furret	Normal		Run Away	Keen Eye	Frisk	85	76	64	45	55	90	415	71.6	71			Long Body Pokemon	0.5	0.5	Sentret	Field	
163	163	Hoothoot	Normal	Flying	Insomnia	Keen Eye	Tinted Lens	60	30	30	36	56	50	262	46.7	28			Owl Pokemon	0.5	0.5		Flying	
164	164	Noctowl	Normal	Flying	Insomnia	Keen Eye	Tinted Lens	100	50	50	86	96	70	452	89.9	63			Owl Pokemon	0.5	0.5	Hoothoot	Flying	
165	165	Ledyba	Bug	Flying	Swarm	Early Bird	Rattled	40	20	30	40	80	55	265	23.8	39	They are timid and grow uneasy when not in a swarm with others of their kind. The pattern on their backs differs slightly from one to another.	'They communicate with one another using bodily fluids that give off odors. When they're angry, their odor smells sour.'	Five Star Pokemon	0.5	0.5		Bug	
166	166	Ledian	Bug	Flying	Swarm	Early Bird	Iron Fist	55	35	50	55	110	85	390	78.5	55	'While it's believed that starlight provides it with energy, this Pokemon also loves to eat berries. In the daytime, it curls up in the grass to sleep.'	'In battle, it throws punches with all four arms. The power of each individual blow is piddly, so it aims to win by quantity rather than quality.'	Five Star Pokemon	0.5	0.5	Ledyba	Bug	
167	167	Spinarak	Bug	Poison	Swarm	Insomnia	Sniper	40	60	40	40	40	30	250	18.7	20	'It waits intently until its preferred prey, Cutiefly, gets caught in its web. In fact, it's quite a patient Pokemon.'	Some fishermen weave its sturdy thread into nets to catch fish Pokemon.	String Spit Pokemon	0.5	0.5		Bug	
168	168	Ariados	Bug	Poison	Swarm	Insomnia	Sniper	70	90	70	60	70	40	400	73.9	43	There are some areas where people use the string Ariados spins for their own weaving. The resulting cloth is popular for its strength.	It spins thread from both its rear and its mouth. Then it wraps its prey up in thread and sips their bodily fluids at its leisure.	Long Leg Pokemon	0.5	0.5	Spinarak	Bug	
169	169	Crobat	Poison	Flying	Inner Focus		Infiltrator	85	90	80	70	80	130	535	165.3	71	'Both its legs became wings, and as a result, it can't move well on the ground. All it can do is crawl around.'	'Silent and swift in its four-winged flight, it bites down on its prey before they realize what's happening. In a heartbeat, it drains their blood.'	Bat Pokemon	0.5	0.5	Golbat	Flying	
170	170	Chinchou	Water	Electric	Volt Absorb	Illuminate	Water Absorb	75	38	38	56	56	67	330	26.5	20	Its two antennae were originally fins. It discharges electricity to stun its prey before attacking.	It lives in the depths beyond the reach of sunlight. It flashes lights on its antennae to communicate with others of its kind.	Angler Pokemon	0.5	0.5		Water 2	
171	171	Lanturn	Water	Electric	Volt Absorb	Illuminate	Water Absorb	125	58	58	76	76	67	460	49.6	47	'Should you peer into the ocean at night and see a light shining like the stars, that is Lanturn.'	This Pokemon flashes a bright light that blinds its prey. This creates an opening for it to deliver an electrical attack.	Light Pokemon	0.5	0.5	Chinchou	Water 2	
172	172	Pichu	Electric		Static		Lightning Rod	20	40	15	35	35	60	205	4.4	12	'It is not yet skilled at controlling electricity. If you take your eyes off it, it may shock itself.'	'Despite this Pokemon's cute appearance, those who want to live with one should prepare to be on the receiving end of its electric jolts.'	Tiny Mouse Pokemon	0.5	0.5		Undiscovered	
173	173	Cleffa	Fairy		Cute Charm	Magic Guard	Friend Guard	50	25	28	45	55	15	218	6.6	12	'On late nights illuminated by shooting stars, it gazes intently skyward, as if thinking of its home.'	'Because of its silhouette, it's believed to be a star reborn. For some reason, it loves Minior.'	Star Shape Pokemon	0.25	0.75		Undiscovered	
174	174	Igglybuff	Normal	Fairy	Cute Charm	Competitive	Friend Guard	90	30	15	40	20	15	210	2.2	12	'It likes to sing but is not yet good at it. With praise and encouragement, it will get better little by little.'	'It moves by bouncing along. As it moves a lot, it sweats, and its body gives off a sweet aroma.'	Balloon Pokemon	0.25	0.75		Undiscovered	
175	175	Togepi	Fairy		Hustle	Serene Grace	Super Luck	35	20	65	40	65	20	245	3.3	12			Spike Ball Pokemon	0.875	0.125		Undiscovered	
176	176	Togetic	Fairy	Flying	Hustle	Serene Grace	Super Luck	55	40	85	80	105	40	405	7.1	24			Happiness Pokemon	0.875	0.125	Togepi	Flying	Fairy
177	177	Natu	Psychic	Flying	Synchronize	Early Bird	Magic Bounce	40	50	45	70	45	70	320	4.4	8			Tiny Bird Pokemon	0.5	0.5		Flying	
178	178	Xatu	Psychic	Flying	Synchronize	Early Bird	Magic Bounce	65	75	70	95	70	95	470	33.1	59			Mystic Pokemon	0.5	0.5	Natu	Flying	
179	179	Mareep	Electric		Static		Plus	55	40	40	65	45	35	280	17.2	24			Wool Pokemon	0.5	0.5		Monster	Field
180	180	Flaaffy	Electric		Static		Plus	70	55	55	80	60	45	365	29.3	31			Wool Pokemon	0.5	0.5	Mareep	Monster	Field
181	181	Ampharos	Electric		Static		Plus	90	75	85	115	90	55	510	135.6	55			Light Pokemon	0.5	0.5	Flaaffy	Monster	Field
182	182	Bellossom	Grass		Chlorophyll		Healer	75	80	95	90	100	50	490	12.8	16			Flower Pokemon	0.5	0.5	Gloom	Grass	
183	183	Marill	Water	Fairy	Thick Fat	Huge Power	Sap Sipper	70	20	50	20	50	40	250	18.7	16			Aqua Mouse Pokemon	0.5	0.5	Azurill	Water 1	Fairy
184	184	Azumarill	Water	Fairy	Thick Fat	Huge Power	Sap Sipper	100	50	80	60	80	50	420	62.8	31			Aqua Rabbit Pokemon	0.5	0.5	Marill	Water 1	Fairy
185	185	Sudowoodo	Rock		Sturdy	Rock Head	Rattled	70	100	115	30	65	30	410	83.8	47	'To avoid attack, it mimics a tree. It will run off if splashed with water, which it hates.'	'Apparently, the larger the green parts of this Pokemon, the more collectors value it. It's a particular favorite among elderly people.'	Imitation Pokemon	0.5	0.5	Bonsly	Mineral	
186	186	Politoed	Water		Water Absorb	Damp	Drizzle	90	75	75	90	100	70	500	74.7	43	'They gather on moonlit nights to form a large chorus. Their cries sound angry and not at all pleasant, but they are certainly distinctive.'	'It's the leader of Poliwag and Poliwhirl. When Politoed roars, they all cower in fear.'	Frog Pokemon	0.5	0.5	Poliwhirl	Water 1	
187	187	Hoppip	Grass	Flying	Chlorophyll	Leaf Guard	Infiltrator	35	35	40	35	55	50	250	1.1	16			Cottonweed Pokemon	0.5	0.5		Fairy	Grass
188	188	Skiploom	Grass	Flying	Chlorophyll	Leaf Guard	Infiltrator	55	45	50	45	65	80	340	2.2	24			Cottonweed Pokemon	0.5	0.5	Hoppip	Fairy	Grass
189	189	Jumpluff	Grass	Flying	Chlorophyll	Leaf Guard	Infiltrator	75	55	70	55	95	110	460	6.6	31			Cottonweed Pokemon	0.5	0.5	Skiploom	Fairy	Grass
190	190	Aipom	Normal		Run Away	Pickup	Skill Link	55	70	55	40	55	85	360	25.4	31			Long Tail Pokemon	0.5	0.5		Field	
191	191	Sunkern	Grass		Chlorophyll	Solar Power	Early Bird	30	30	30	30	30	30	180	4	12			Seed Pokemon	0.5	0.5		Grass	
192	192	Sunflora	Grass		Chlorophyll	Solar Power	Early Bird	75	75	55	105	85	30	425	18.7	31			Sun Pokemon	0.5	0.5	Sunkern	Grass	
193	193	Yanma	Bug	Flying	Speed Boost	Compound Eyes	Frisk	65	65	45	75	45	95	390	83.8	47			Clear Wing Pokemon	0.5	0.5		Bug	
194	194	Wooper	Water	Ground	Damp	Water Absorb	Unaware	55	45	45	25	25	15	210	18.7	16			Water Fish Pokemon	0.5	0.5		Water 1	Field
195	195	Quagsire	Water	Ground	Damp	Water Absorb	Unaware	95	85	85	65	65	35	430	165.3	55			Water Fish Pokemon	0.5	0.5	Wooper	Water 1	Field
196	196	Espeon	Psychic		Synchronize		Magic Bounce	65	65	60	130	95	110	525	58.4	35	It can instantaneously sense its opponent's movements by feeling air currents with its fine fur.	'It unleashes psychic power from the orb on its forehead. When its power is exhausted, the orb grows dull and dark.'	Sun Pokemon	0.875	0.125	Eevee	Field	
197	197	Umbreon	Dark		Synchronize		Inner Focus	95	65	110	60	130	65	525	59.5	39	'When this Pokemon becomes angry, its pores secrete a poisonous sweat, which it sprays at its opponent's eyes.'	'With its black fur, it blends into the darkness. It bides its time, and when prey appears, this Pokemon goes for its throat, and then eats it.'	Moonlight Pokemon	0.875	0.125	Eevee	Field	
198	198	Murkrow	Dark	Flying	Insomnia	Super Luck	Prankster	60	85	42	85	42	91	405	4.6	20	'They awaken at dusk and take wing in the twilight, leading to the expression, “Get home before the Murkrow fly.”'	'Seen as a symbol of bad luck, it's generally disliked. Yet it gives presents—objects that sparkle or shine—to Trainers it's close to.'	Darkness Pokemon	0.5	0.5		Flying	
199	199	Slowking	Water	Psychic	Oblivious	Own Tempo	Regenerator	95	75	80	100	110	30	490	175.3	79	'A poisonous bite reacted with its system, blessing it with the enhanced intellect of a genius. It has full control of its psychic powers.'	'This Pokemon is so famed for its intellect that a proverb still persists in some regions: “When in doubt, ask Slowking.”'	Royal Pokemon	0.5	0.5	Slowpoke	Monster	Water 1
200	200	Misdreavus	Ghost		Levitate			60	60	60	85	85	85	435	2.2	28	It will use any means necessary to frighten people and absorb their life energy. It practices constantly to hone its skill in causing fear.	'If you hear a sobbing sound emanating from a vacant room, it's undoubtedly a bit of mischief from Misdreavus.'	Screech Pokemon	0.5	0.5		Amorphous	
201	201	Unown	Psychic		Levitate			48	72	48	72	48	48	336	11	20			Symbol Pokemon			Misdreavus	Undiscovered	
202	202	Wobbuffet	Psychic		Shadow Tag		Telepathy	190	33	58	33	58	33	405	62.8	51			Patient Pokemon	0.5	0.5	Wynaut	Amorphous	
203	203	Girafarig	Normal	Psychic	Inner Focus	Early Bird	Sap Sipper	70	80	65	90	65	85	455	91.5	59			Long Neck Pokemon	0.5	0.5		Field	
204	204	Pineco	Bug		Sturdy		Overcoat	50	65	90	35	35	15	290	15.9	24			Bagworm Pokemon	0.5	0.5		Bug	
205	205	Forretress	Bug	Steel	Sturdy		Overcoat	75	90	140	60	60	40	465	277.3	47			Bagworm Pokemon	0.5	0.5	Pineco	Bug	
206	206	Dunsparce	Normal		Serene Grace	Run Away	Rattled	100	70	70	65	65	45	415	30.9	59			Land Snake Pokemon	0.5	0.5		Field	
207	207	Gligar	Ground	Flying	Hyper Cutter	Sand Veil	Immunity	65	75	105	35	65	85	430	142.9	43			Fly Scorpion Pokemon	0.5	0.5		Bug	
208	208	Steelix	Steel	Ground	Rock Head	Sturdy	Sheer Force	75	85	200	55	65	30	510	881.8	362			Iron Snake Pokemon	0.5	0.5	Onix	Mineral	
209	209	Snubbull	Fairy		Intimidate	Run Away	Rattled	60	80	50	40	40	30	300	17.2	24	'Despite its intimidating face, it's quite cowardly. Its desperate attempts to appear threatening make it popular with people.'	Its growls make its opponents uneasy. This laid-back Pokemon tends to sleep half the day.	Fairy Pokemon	0.5	0.5		Field	Fairy
210	210	Granbull	Fairy		Intimidate	Quick Feet	Rattled	90	120	75	60	60	45	450	107.4	55	'Its well-developed lower jaw and heavy fangs are its weapons. As long as it's not provoked, it rarely bites.'	'More timid than Snubbull, this Pokemon is doted on by young people amused at the contrast between its looks and its attitude.'	Fairy Pokemon	0.5	0.5	Snubbull	Field	Fairy
211	211	Qwilfish	Water	Poison	Poison Point	Swift Swim	Intimidate	65	95	85	55	55	85	440	8.6	20			Balloon Pokemon	0.5	0.5		Water 2	
212	212	Scizor	Bug	Steel	Swarm	Technician	Light Metal	70	130	100	55	80	65	500	260.1	71	'It uses its wings to adjust its body temperature. Otherwise, its metal body would become too hot and melt in the heat of battle.'	'Once it has identified an enemy, this Pokemon smashes it mercilessly with pincers hard as steel.'	Pincer Pokemon	0.5	0.5	Scyther	Bug	
213	213	Shuckle	Bug	Rock	Sturdy	Gluttony	Contrary	20	10	230	10	230	5	505	45.2	24			Mold Pokemon	0.5	0.5		Bug	
214	214	Heracross	Bug	Fighting	Swarm	Guts	Moxie	80	125	75	40	95	85	500	119	59			Single Horn Pokemon	0.5	0.5		Bug	
215	215	Sneasel	Dark	Ice	Inner Focus	Keen Eye	Pickpocket	55	95	55	35	75	115	430	61.7	35	'It has a cunning yet savage disposition. It waits for parents to leave their nests, and then it sneaks in to steal their eggs.'	It uses its claws to poke holes in eggs so it can slurp out the insides. Breeders consider it a scourge and will drive it away or eradicate it.	Sharp Claw Pokemon	0.5	0.5		Field	
216	216	Teddiursa	Normal		Pickup	Quick Feet	Honey Gather	60	80	50	50	50	40	330	19.4	24			Little Bear Pokemon	0.5	0.5		Field	
217	217	Ursaring	Normal		Guts	Quick Feet	Unnerve	90	130	75	75	75	55	500	277.3	71			Hibernator Pokemon	0.5	0.5	Teddiursa	Field	
218	218	Slugma	Fire		Magma Armor	Flame Body	Weak Armor	40	40	40	70	40	20	250	77.2	28			Lava Pokemon	0.5	0.5		Amorphous	
219	219	Magcargo	Fire	Rock	Magma Armor	Flame Body	Weak Armor	60	50	120	90	80	30	430	121.3	31			Lava Pokemon	0.5	0.5	Slugma	Amorphous	
220	220	Swinub	Ice	Ground	Oblivious	Snow Cloak	Thick Fat	50	50	40	30	30	50	250	14.3	16			Pig Pokemon	0.5	0.5		Field	
221	221	Piloswine	Ice	Ground	Oblivious	Snow Cloak	Thick Fat	100	100	80	60	60	50	450	123	43			Swine Pokemon	0.5	0.5	Swinub	Field	
222	222	Corsola	Water	Rock	Hustle	Natural Cure	Regenerator	65	55	95	65	95	35	410	11	24	'Coral branches grow from its head. They break off quite easily, but they grow back in about three days.'	'Pursued by Mareanie for the branches on its head, this Pokemon will sometimes snap its own branches off as a diversion while it escapes.'	Coral Pokemon	0.5	0.5		Water 1	Water 3
223	223	Remoraid	Water		Hustle	Sniper	Moody	35	65	35	65	35	65	300	26.5	24			Jet Pokemon	0.5	0.5		Water 1	Water 2
224	224	Octillery	Water		Suction Cups	Sniper	Moody	75	105	75	105	75	45	480	62.8	35			Jet Pokemon	0.5	0.5	Remoraid	Water 1	Water 2
225	225	Delibird	Ice	Flying	Vital Spirit	Hustle	Insomnia	45	55	45	65	45	75	330	35.3	35	'Although it naturally prefers colder locales, Delibird in Alola seem able to withstand the heat to a certain extent.'	'It has a generous habit of sharing its food with people and Pokemon, so it's always scrounging around for more food.'	Delivery Pokemon	0.5	0.5		Water 1	Field
226	226	Mantine	Water	Flying	Swift Swim	Water Absorb	Water Veil	85	40	70	80	140	70	485	485	83			Kite Pokemon	0.5	0.5	Mantyke	Water 1	
227	227	Skarmory	Steel	Flying	Keen Eye	Sturdy	Weak Armor	65	80	140	40	70	70	465	111.3	67	'Its feathers, which fall off as it grows, are thin and sharp. In times long past, warriors used them as swords.'	'Its metal body is sturdy, but it does rust rather easily. So on rainy days, this Pokemon prefers to stay put in its nest.'	Armor Bird Pokemon	0.5	0.5		Flying	
228	228	Houndour	Dark	Fire	Early Bird	Flash Fire	Unnerve	45	60	30	80	50	65	330	23.8	24			Dark Pokemon	0.5	0.5		Field	
229	229	Houndoom	Dark	Fire	Early Bird	Flash Fire	Unnerve	75	90	50	110	80	95	500	77.2	55			Dark Pokemon	0.5	0.5	Houndour	Field	
230	230	Kingdra	Water	Dragon	Swift Swim	Sniper	Damp	75	95	95	95	95	85	540	335.1	71			Dragon Pokemon	0.5	0.5	Seadra	Water 1	Dragon
231	231	Phanpy	Ground		Pickup		Sand Veil	90	60	60	40	40	40	330	73.9	20			Long Nose Pokemon	0.5	0.5		Field	
232	232	Donphan	Ground		Sturdy		Sand Veil	90	120	120	60	60	50	500	264.6	43			Armor Pokemon	0.5	0.5	Phanpy	Field	
